"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Snai1"	0	0.638476204283404	0.769	0.217	0	"Allantois"	"Snai1"
"Cox4i2"	0	0.628696014345834	0.695	0.142	0	"Allantois"	"Cox4i2"
"Cald1"	0	0.623713435192284	0.888	0.515	0	"Allantois"	"Cald1"
"Meg3"	0	0.623556788465112	0.971	0.743	0	"Allantois"	"Meg3"
"Pcolce"	0	0.62136912590813	0.57	0.114	0	"Allantois"	"Pcolce"
"Pdgfa"	0	0.61456856912002	0.763	0.314	0	"Allantois"	"Pdgfa"
"Eva1b"	0	0.595077268447872	0.768	0.371	0	"Allantois"	"Eva1b"
"Tceal9"	0	0.592923379967631	0.999	0.987	0	"Allantois"	"Tceal9"
"Hoxa9"	0	0.585781287817503	0.665	0.051	0	"Allantois"	"Hoxa9"
"Cnn3"	0	0.582065803989791	0.995	0.878	0	"Allantois"	"Cnn3"
"Fn1"	0	0.578887390225863	0.855	0.44	0	"Allantois"	"Fn1"
"Wnt2"	0	0.570310648150627	0.46	0.087	0	"Allantois"	"Wnt2"
"Bmp4"	0	0.568971140238089	0.764	0.211	0	"Allantois"	"Bmp4"
"Col1a1"	0	0.548641702137996	0.534	0.035	0	"Allantois"	"Col1a1"
"Msx2"	0	0.547121008063298	0.752	0.261	0	"Allantois"	"Msx2"
"Hmga2"	0	0.544920250928742	0.947	0.609	0	"Allantois"	"Hmga2"
"Hoxc9"	0	0.537503384608555	0.648	0.054	0	"Allantois"	"Hoxc9"
"Bbx"	0	0.53262797214306	0.801	0.442	0	"Allantois"	"Bbx"
"Pgf"	0	0.531110522127128	0.6	0.043	0	"Allantois"	"Pgf"
"Ubc"	0	0.525562931968859	0.992	0.948	0	"Allantois"	"Ubc"
"S100a10"	0	0.518604431968429	0.952	0.711	0	"Allantois"	"S100a10"
"Cmtm7"	0	0.511111942046307	0.869	0.577	0	"Allantois"	"Cmtm7"
"Peg3"	0	0.50961566389013	0.898	0.564	0	"Allantois"	"Peg3"
"Ckap4"	0	0.509542042464668	0.849	0.51	0	"Allantois"	"Ckap4"
"Anxa2"	0	0.506028789569386	0.552	0.207	0	"Allantois"	"Anxa2"
"Capn6"	0	0.497554601479862	0.543	0.069	0	"Allantois"	"Capn6"
"Ndn"	0	0.494115883592812	0.746	0.368	0	"Allantois"	"Ndn"
"3632451O06Rik"	0	0.49373756005499	0.607	0.131	0	"Allantois"	"3632451O06Rik"
"Hoxa7"	0	0.471283679287829	0.604	0.075	0	"Allantois"	"Hoxa7"
"P4ha2"	0	0.465416038446878	0.632	0.164	0	"Allantois"	"P4ha2"
"Twist1"	0	0.464990964575784	0.593	0.107	0	"Allantois"	"Twist1"
"Oat"	0	0.459046449132928	0.957	0.724	0	"Allantois"	"Oat"
"Maged1"	0	0.455263823922635	0.96	0.754	0	"Allantois"	"Maged1"
"Vcan"	0	0.454328646109613	0.561	0.12	0	"Allantois"	"Vcan"
"Sh3glb1"	0	0.454048969480807	0.931	0.745	0	"Allantois"	"Sh3glb1"
"Gnas"	0	0.452569129882159	1	0.975	0	"Allantois"	"Gnas"
"Aard"	0	0.439656853561213	0.541	0.211	0	"Allantois"	"Aard"
"Dok4"	0	0.436299373265286	0.596	0.127	0	"Allantois"	"Dok4"
"Efemp2"	0	0.430139234729906	0.637	0.222	0	"Allantois"	"Efemp2"
"Rbbp7"	0	0.429610939969165	0.996	0.972	0	"Allantois"	"Rbbp7"
"Sh3bgr"	0	0.416408482437622	0.481	0.045	0	"Allantois"	"Sh3bgr"
"Igf2r"	0	0.414519936105199	0.567	0.14	0	"Allantois"	"Igf2r"
"Smtnl2"	0	0.41358338225066	0.707	0.298	0	"Allantois"	"Smtnl2"
"Prdm6"	0	0.402550722290076	0.559	0.131	0	"Allantois"	"Prdm6"
"Gata5"	0	0.396396965225311	0.473	0.036	0	"Allantois"	"Gata5"
"Isl1"	0	0.396234866141712	0.48	0.089	0	"Allantois"	"Isl1"
"Plpp3"	0	0.391372236553575	0.54	0.21	0	"Allantois"	"Plpp3"
"Col1a2"	0	0.391178106521008	0.43	0.054	0	"Allantois"	"Col1a2"
"Smad7"	0	0.386094487101088	0.66	0.277	0	"Allantois"	"Smad7"
"Nup62cl"	0	0.383644915204517	0.726	0.277	0	"Allantois"	"Nup62cl"
"Hoxc8"	0	0.379820782121286	0.53	0.078	0	"Allantois"	"Hoxc8"
"Bex3"	0	0.377597241603216	0.999	0.997	0	"Allantois"	"Bex3"
"Pdlim4"	0	0.374737869140598	0.669	0.295	0	"Allantois"	"Pdlim4"
"Hoxd9"	0	0.365754402868761	0.47	0.06	0	"Allantois"	"Hoxd9"
"Wnt5a"	0	0.360494834358792	0.513	0.134	0	"Allantois"	"Wnt5a"
"Hand2"	0	0.339624442867088	0.474	0.068	0	"Allantois"	"Hand2"
"Vcam1"	0	0.332817583312124	0.208	0.006	0	"Allantois"	"Vcam1"
"Gnb4"	0	0.32247757987944	0.573	0.212	0	"Allantois"	"Gnb4"
"2610528A11Rik"	0	0.318051197197489	0.35	0.033	0	"Allantois"	"2610528A11Rik"
"Hoxa11"	0	0.317961712631666	0.399	0.009	0	"Allantois"	"Hoxa11"
"Tbx20"	0	0.316502938168033	0.419	0.043	0	"Allantois"	"Tbx20"
"Smad6"	0	0.310711939870049	0.458	0.116	0	"Allantois"	"Smad6"
"Sct"	0	0.30778435249751	0.374	0.085	0	"Allantois"	"Sct"
"Tgfb1"	0	0.306528770677959	0.469	0.125	0	"Allantois"	"Tgfb1"
"Arhgap29"	0	0.304043407264221	0.457	0.112	0	"Allantois"	"Arhgap29"
"Tbx3"	0	0.30085886644609	0.457	0.11	0	"Allantois"	"Tbx3"
"Hoxc10"	0	0.297749566487267	0.33	0.012	0	"Allantois"	"Hoxc10"
"Ngfr"	0	0.292587619324754	0.338	0.026	0	"Allantois"	"Ngfr"
"Mmp2"	0	0.291329885421422	0.474	0.144	0	"Allantois"	"Mmp2"
"Tgfb2"	0	0.2905420890021	0.399	0.086	0	"Allantois"	"Tgfb2"
"Nrp1"	0	0.289406823922138	0.466	0.102	0	"Allantois"	"Nrp1"
"Gata6"	0	0.286451938051423	0.496	0.159	0	"Allantois"	"Gata6"
"Phldb2"	0	0.284108311509854	0.428	0.122	0	"Allantois"	"Phldb2"
"Hoxb7"	0	0.275935665938101	0.429	0.072	0	"Allantois"	"Hoxb7"
"Gata4"	0	0.272848406570827	0.465	0.135	0	"Allantois"	"Gata4"
"Nxf7"	0	0.268485670282355	0.328	0.081	0	"Allantois"	"Nxf7"
"Vegfc"	0	0.255014845812028	0.357	0.048	0	"Allantois"	"Vegfc"
"Ccdc80"	0	0.253849736840989	0.321	0.038	0	"Allantois"	"Ccdc80"
"Spats2l"	1.45501081921331e-306	0.274386272376541	0.34	0.092	3.24598363658297e-302	"Allantois"	"Spats2l"
"Mbnl3"	1.80605470547878e-297	0.338626265437153	0.318	0.085	4.02912744245261e-293	"Allantois"	"Mbnl3"
"Tpm4"	2.17635586982512e-295	0.42551055625063	0.989	0.893	4.85523230999285e-291	"Allantois"	"Tpm4"
"Tubb6"	1.18287754531285e-287	0.545463370130246	0.85	0.59	2.63888151583844e-283	"Allantois"	"Tubb6"
"Mdk"	4.0845659515381e-286	0.404463243427627	1	0.969	9.11225818128634e-282	"Allantois"	"Mdk"
"Bri3"	2.95077564244754e-283	0.385492261667365	0.979	0.909	6.58288538073621e-279	"Allantois"	"Bri3"
"Slc25a4"	3.00065585885923e-280	0.371975877931743	1	0.989	6.69416315552906e-276	"Allantois"	"Slc25a4"
"Grb10"	1.30932666975878e-277	0.415232603167313	0.821	0.532	2.92097686756487e-273	"Allantois"	"Grb10"
"Gas1"	1.18541914741225e-276	0.336735366338128	0.59	0.256	2.64455157596198e-272	"Allantois"	"Gas1"
"P3h4"	1.75692407798244e-275	0.281556326822422	0.435	0.153	3.91952192557102e-271	"Allantois"	"P3h4"
"Tpd52l1"	5.18195474963218e-273	0.321936017264301	0.587	0.262	1.15604228509544e-268	"Allantois"	"Tpd52l1"
"Gpx7"	4.7651519300031e-272	0.345862710706279	0.575	0.259	1.06305774406439e-267	"Allantois"	"Gpx7"
"Hes1"	4.7587533044968e-265	0.465059979240421	0.837	0.543	1.06163027470019e-260	"Allantois"	"Hes1"
"Klf6"	2.72243016800483e-258	0.462096246622725	0.692	0.385	6.07346946180197e-254	"Allantois"	"Klf6"
"Hspa5"	4.40486659219744e-254	0.389121888109518	0.997	0.971	9.82681688053326e-250	"Allantois"	"Hspa5"
"Rbpms"	3.40130946687683e-252	0.402058384719825	0.926	0.732	7.58798128965552e-248	"Allantois"	"Rbpms"
"Mmp14"	7.75574672484832e-250	0.350464303145399	0.558	0.255	1.73022953684641e-245	"Allantois"	"Mmp14"
"Rdx"	3.57332055769389e-245	0.366811397438016	0.979	0.915	7.97172083215931e-241	"Allantois"	"Rdx"
"Basp1"	1.46053587950916e-242	0.446444983976704	0.904	0.636	3.25830949359699e-238	"Allantois"	"Basp1"
"Nenf"	3.37727928951491e-238	0.387995750615077	0.754	0.481	7.53437236697881e-234	"Allantois"	"Nenf"
"Igfbp4"	3.19878596962831e-233	0.314881264731348	0.844	0.512	7.1361716196438e-229	"Allantois"	"Igfbp4"
"Cdx2"	3.77733746596837e-228	0.310917373405617	0.739	0.354	8.42686215282884e-224	"Allantois"	"Cdx2"
"Efna1"	2.0899313534611e-226	0.254262406537701	0.419	0.156	4.66242785643637e-222	"Allantois"	"Efna1"
"Rcn3"	1.61167929359876e-224	0.40149137618132	0.795	0.545	3.59549533608948e-220	"Allantois"	"Rcn3"
"Rcn2"	2.74155371508811e-224	0.384424055862801	0.931	0.73	6.11613218299007e-220	"Allantois"	"Rcn2"
"Sparc"	4.00818817192484e-223	0.380084237127728	0.897	0.67	8.94186699274713e-219	"Allantois"	"Sparc"
"Rbpms2"	7.53552692154941e-222	0.338361918852815	0.958	0.742	1.68110070092846e-217	"Allantois"	"Rbpms2"
"P4hb"	1.80816281685587e-221	0.366192152063362	0.95	0.822	4.03383042812377e-217	"Allantois"	"P4hb"
"Cdh2"	2.52990900073084e-221	0.268319783648425	0.551	0.246	5.64397398973044e-217	"Allantois"	"Cdh2"
"Actb"	3.2511256358839e-221	0.325547871004118	0.999	0.997	7.2529361810934e-217	"Allantois"	"Actb"
"Jun"	2.51277287097744e-217	0.419083421267087	0.638	0.349	5.60574499786358e-213	"Allantois"	"Jun"
"Manf"	3.70262402579101e-216	0.348348048744147	0.997	0.979	8.26018393913717e-212	"Allantois"	"Manf"
"Timp2"	5.96478254176087e-213	0.253155003429735	0.466	0.196	1.33068333724143e-208	"Allantois"	"Timp2"
"Maged2"	9.74127538620142e-213	0.747458869662568	0.605	0.348	2.17318112590768e-208	"Allantois"	"Maged2"
"Fermt2"	6.38415435261999e-202	0.367267098125569	0.784	0.533	1.42424099452599e-197	"Allantois"	"Fermt2"
"Degs1"	8.49666531933696e-202	0.317349457960366	0.917	0.707	1.89552106609088e-197	"Allantois"	"Degs1"
"Calm1"	2.80865706287789e-200	0.262314685959879	1	0.999	6.26583304157428e-196	"Allantois"	"Calm1"
"Ndufa4l2"	5.06817666461627e-200	0.289192521233597	0.416	0.168	1.13065953210924e-195	"Allantois"	"Ndufa4l2"
"Tuba1a"	6.15751780841342e-198	0.600790592302863	0.993	0.851	1.37368064787895e-193	"Allantois"	"Tuba1a"
"Crip2"	2.08714654086558e-197	0.331141220751691	0.879	0.637	4.65621521801702e-193	"Allantois"	"Crip2"
"Rala"	1.39354270831093e-196	0.356643936527046	0.937	0.844	3.10885442797086e-192	"Allantois"	"Rala"
"Krcc1"	7.07957708076179e-195	0.333750757795049	0.741	0.48	1.57938285094715e-190	"Allantois"	"Krcc1"
"Hsp90b1"	8.13128834679573e-192	0.30696356527296	0.997	0.969	1.81400911728666e-187	"Allantois"	"Hsp90b1"
"Tbrg1"	4.03598308606906e-191	0.322881858053597	0.97	0.888	9.00387466671147e-187	"Allantois"	"Tbrg1"
"Tubb2a"	2.78140967359242e-190	0.294632416987008	0.379	0.152	6.20504684081734e-186	"Allantois"	"Tubb2a"
"2810474O19Rik"	5.94731565985014e-186	0.312156278886997	0.647	0.382	1.32678665055597e-181	"Allantois"	"2810474O19Rik"
"Sfrp1"	1.87815956623232e-185	0.367137464588071	0.536	0.263	4.18998617630768e-181	"Allantois"	"Sfrp1"
"Myl6"	2.25834131788218e-182	0.320593682496719	0.998	0.993	5.03813364606336e-178	"Allantois"	"Myl6"
"Cfl2"	1.10156480694525e-181	0.321851216033226	0.887	0.7	2.45748092781416e-177	"Allantois"	"Cfl2"
"Rhoc"	1.50717568096354e-178	0.492306854034905	0.779	0.583	3.36235822666155e-174	"Allantois"	"Rhoc"
"Reep5"	3.26227837919928e-175	0.359363975065762	0.849	0.657	7.27781683615567e-171	"Allantois"	"Reep5"
"C1qtnf12"	1.05008505830225e-168	0.264729413871998	0.528	0.279	2.34263475656649e-164	"Allantois"	"C1qtnf12"
"Calr"	9.19730443478687e-162	0.271366684210508	0.994	0.965	2.0518266463566e-157	"Allantois"	"Calr"
"Dnajc3"	1.32922424590525e-160	0.322395005031062	0.792	0.585	2.96536637019001e-156	"Allantois"	"Dnajc3"
"Gabarap"	3.36950596001245e-158	0.364738035072678	0.946	0.854	7.51703084619177e-154	"Allantois"	"Gabarap"
"Lrrfip1"	1.78714288966948e-156	0.261854187603235	0.559	0.315	3.98693707256364e-152	"Allantois"	"Lrrfip1"
"Sdc1"	2.37251518507036e-155	0.29115397515934	0.693	0.45	5.29284412637347e-151	"Allantois"	"Sdc1"
"Clic1"	5.90864402417112e-155	0.336497779559579	0.938	0.836	1.31815939535234e-150	"Allantois"	"Clic1"
"Abracl"	2.0034576983935e-151	0.375330056726848	0.921	0.822	4.46951377934605e-147	"Allantois"	"Abracl"
"H2afy"	4.07675523724854e-151	0.267740368752001	0.935	0.713	9.09483325877777e-147	"Allantois"	"H2afy"
"Ssr2"	3.61754846212512e-149	0.253278079413494	0.991	0.959	8.07038886415493e-145	"Allantois"	"Ssr2"
"Id1"	7.51878677937744e-146	0.263277042541439	0.951	0.681	1.67736614261131e-141	"Allantois"	"Id1"
"Bex2"	3.77068104797012e-143	0.264156357953661	0.974	0.878	8.41201234991654e-139	"Allantois"	"Bex2"
"Rras2"	6.26659521104797e-143	0.280167310527232	0.885	0.735	1.39801472563269e-138	"Allantois"	"Rras2"
"Fbln1"	3.64846217590867e-142	0.276309444088554	0.716	0.476	8.13935426823464e-138	"Allantois"	"Fbln1"
"Id3"	6.12518345827549e-139	0.273304397180928	0.994	0.854	1.36646717770668e-134	"Allantois"	"Id3"
"Psme2"	1.72359088102465e-124	0.330757454362469	0.81	0.653	3.8451588964779e-120	"Allantois"	"Psme2"
"Plin2"	1.72079741356922e-121	0.252656373858339	0.631	0.409	3.83892694993156e-117	"Allantois"	"Plin2"
"Plac8"	4.53987222289351e-120	0.262974799890785	0.537	0.318	1.01280009420531e-115	"Allantois"	"Plac8"
"Pdlim7"	2.14597030870195e-116	0.310340334138708	0.682	0.496	4.78744516168317e-112	"Allantois"	"Pdlim7"
"Limd2"	2.24132405105142e-116	0.254375340858854	0.954	0.802	5.00016982549062e-112	"Allantois"	"Limd2"
"Rsu1"	4.95686389657659e-112	0.284045456935923	0.748	0.579	1.10582676668727e-107	"Allantois"	"Rsu1"
"Ifitm2"	9.30206054437095e-107	0.26998767216627	0.991	0.852	2.07519668684371e-102	"Allantois"	"Ifitm2"
"Cnih4"	1.36406225598425e-105	0.25562250162088	0.854	0.747	3.04308648687527e-101	"Allantois"	"Cnih4"
"Phlda1"	5.93713817907723e-103	0.265047425889244	0.703	0.486	1.32451615637034e-98	"Allantois"	"Phlda1"
"Smc4"	2.67378293582617e-101	0.276753619893397	0.948	0.893	5.9649423515346e-97	"Allantois"	"Smc4"
"Etv2"	6.02757743955942e-100	0.564798014529803	0.336	0.167	1.34469225099131e-95	"Allantois"	"Etv2"
"Ptms"	1.57766682826038e-90	0.252672522896754	0.756	0.609	3.51961692716609e-86	"Allantois"	"Ptms"
"Tpm2"	8.01090228200648e-83	0.282381432396675	0.519	0.36	1.78715219009283e-78	"Allantois"	"Tpm2"
"Tsc22d1"	4.26636219631266e-80	0.25345539526797	0.878	0.786	9.51782742375391e-76	"Allantois"	"Tsc22d1"
"Cthrc1"	1.05715842849401e-63	0.278190798262687	0.464	0.323	2.35841473812728e-59	"Allantois"	"Cthrc1"
"Tdgf1"	0	1.95815263248006	0.999	0.246	0	"Anterior Primitive Streak"	"Tdgf1"
"Cer1"	0	1.74966644747528	0.719	0.053	0	"Anterior Primitive Streak"	"Cer1"
"Upp1"	0	1.60683682992526	0.993	0.327	0	"Anterior Primitive Streak"	"Upp1"
"Sox17"	0	1.38147113391145	0.57	0.134	0	"Anterior Primitive Streak"	"Sox17"
"Lhx1"	0	1.30736649143214	0.912	0.095	0	"Anterior Primitive Streak"	"Lhx1"
"Gsc"	0	1.24765814395344	0.917	0.07	0	"Anterior Primitive Streak"	"Gsc"
"Fgf8"	0	1.22771615458694	0.969	0.314	0	"Anterior Primitive Streak"	"Fgf8"
"Mixl1"	0	1.08433208914753	0.815	0.115	0	"Anterior Primitive Streak"	"Mixl1"
"Fgf5"	0	1.04591827628384	0.939	0.198	0	"Anterior Primitive Streak"	"Fgf5"
"Sp5"	0	1.02144206261992	0.896	0.283	0	"Anterior Primitive Streak"	"Sp5"
"Foxa2"	0	0.963093668141194	0.817	0.09	0	"Anterior Primitive Streak"	"Foxa2"
"Lefty1"	0	0.959070993044516	0.514	0.024	0	"Anterior Primitive Streak"	"Lefty1"
"Larp7"	0	0.919930066096799	0.986	0.831	0	"Anterior Primitive Streak"	"Larp7"
"Cyp26a1"	0	0.899929479901367	0.806	0.302	0	"Anterior Primitive Streak"	"Cyp26a1"
"Hhex"	0	0.844247650705351	0.776	0.087	0	"Anterior Primitive Streak"	"Hhex"
"Emb"	0	0.818382972647323	1	0.88	0	"Anterior Primitive Streak"	"Emb"
"Otx2"	0	0.742319646490689	0.858	0.225	0	"Anterior Primitive Streak"	"Otx2"
"Npm3"	0	0.731433567866574	1	0.983	0	"Anterior Primitive Streak"	"Npm3"
"Eomes"	0	0.684015294929184	0.868	0.246	0	"Anterior Primitive Streak"	"Eomes"
"Socs2"	0	0.67864114203322	0.912	0.463	0	"Anterior Primitive Streak"	"Socs2"
"Car2"	0	0.667995371529464	0.996	0.726	0	"Anterior Primitive Streak"	"Car2"
"Cfc1"	0	0.506484827710909	0.632	0.186	0	"Anterior Primitive Streak"	"Cfc1"
"Grrp1"	0	0.499667533530232	0.718	0.187	0	"Anterior Primitive Streak"	"Grrp1"
"Gata61"	0	0.463357720197972	0.606	0.16	0	"Anterior Primitive Streak"	"Gata6"
"Calca"	0	0.444652915041749	0.478	0.102	0	"Anterior Primitive Streak"	"Calca"
"Bmp7"	0	0.407188271896451	0.615	0.154	0	"Anterior Primitive Streak"	"Bmp7"
"Shisa2"	0	0.40509053817085	0.544	0.149	0	"Anterior Primitive Streak"	"Shisa2"
"Samd3"	0	0.393219098516744	0.47	0.023	0	"Anterior Primitive Streak"	"Samd3"
"Lhx1os"	0	0.386646257078865	0.526	0.092	0	"Anterior Primitive Streak"	"Lhx1os"
"Fam89a"	0	0.372006998681557	0.495	0.067	0	"Anterior Primitive Streak"	"Fam89a"
"T"	2.09916114379723e-305	0.419987407691277	0.696	0.229	4.68301859569724e-301	"Anterior Primitive Streak"	"T"
"2010111I01Rik"	4.47410484638902e-305	0.405229633637052	0.658	0.23	9.98128050180927e-301	"Anterior Primitive Streak"	"2010111I01Rik"
"Ina"	9.70080759205847e-294	0.368791873269739	0.649	0.224	2.16415316571232e-289	"Anterior Primitive Streak"	"Ina"
"Frzb"	3.14661583119521e-281	0.420329695049038	0.674	0.244	7.01978525781338e-277	"Anterior Primitive Streak"	"Frzb"
"Calm11"	1.42515084426827e-276	0.384349113551913	1	0.999	3.17936901847808e-272	"Anterior Primitive Streak"	"Calm1"
"Hes11"	6.12869915908187e-275	0.652039373115286	0.878	0.544	1.36725149539957e-270	"Anterior Primitive Streak"	"Hes1"
"Sfrp11"	2.06933756359582e-273	0.428072577655292	0.696	0.263	4.61648517062592e-269	"Anterior Primitive Streak"	"Sfrp1"
"Ndrg1"	1.15628192678987e-262	0.277970941697406	0.383	0.092	2.57954935047552e-258	"Anterior Primitive Streak"	"Ndrg1"
"Igfbp2"	9.48475789436793e-254	0.534914912762934	0.984	0.633	2.11595463865454e-249	"Anterior Primitive Streak"	"Igfbp2"
"Vrtn"	2.15910243904073e-243	0.322831904977538	0.605	0.215	4.81674163125596e-239	"Anterior Primitive Streak"	"Vrtn"
"Ap1s3"	3.96491382342187e-235	0.288176825857605	0.522	0.174	8.84532624867185e-231	"Anterior Primitive Streak"	"Ap1s3"
"Ctsc"	7.35106175938759e-234	0.464809886046123	0.772	0.365	1.63994836790178e-229	"Anterior Primitive Streak"	"Ctsc"
"Snrpn"	1.11823769530593e-231	0.529858270057251	0.997	0.801	2.49467647445801e-227	"Anterior Primitive Streak"	"Snrpn"
"Pou5f1"	3.24961561478989e-231	0.576529227488214	0.994	0.542	7.24956747503477e-227	"Anterior Primitive Streak"	"Pou5f1"
"Car4"	2.32741268401242e-221	0.42419544812037	0.996	0.764	5.19222495676331e-217	"Anterior Primitive Streak"	"Car4"
"Stmn1"	7.1993583914954e-217	0.381703613046765	1	0.985	1.60610486355871e-212	"Anterior Primitive Streak"	"Stmn1"
"Dkk1"	8.29192184416987e-216	0.556330988526344	0.446	0.14	1.84984484421586e-211	"Anterior Primitive Streak"	"Dkk1"
"Cd24a"	6.15694962903136e-212	0.619652209306179	0.996	0.846	1.37355389274061e-207	"Anterior Primitive Streak"	"Cd24a"
"Dusp6"	6.18878515883552e-201	0.435708046849759	0.744	0.381	1.38065608108462e-196	"Anterior Primitive Streak"	"Dusp6"
"Pycr2"	6.50440825117059e-198	0.458866350129799	0.935	0.757	1.45106843675365e-193	"Anterior Primitive Streak"	"Pycr2"
"Cdh21"	3.70162350531827e-195	0.323878594488696	0.599	0.247	8.25795187801453e-191	"Anterior Primitive Streak"	"Cdh2"
"Agtrap"	9.62692204435336e-194	0.350707599260164	0.69	0.334	2.14767003887479e-189	"Anterior Primitive Streak"	"Agtrap"
"Trh"	3.73507313180346e-193	0.754993561121278	0.617	0.253	8.33257464974034e-189	"Anterior Primitive Streak"	"Trh"
"Asb41"	2.21645786764761e-172	0.290959530863334	0.408	0.134	4.94469585693506e-168	"Anterior Primitive Streak"	"Asb4"
"Cyb5a"	1.75371171115183e-167	0.388493280995812	0.985	0.937	3.91235545640862e-163	"Anterior Primitive Streak"	"Cyb5a"
"Ggct"	4.75108057326304e-165	0.342390305468083	0.68	0.365	1.05991856508925e-160	"Anterior Primitive Streak"	"Ggct"
"Itm2b"	6.52858949290504e-138	0.339266879471062	0.945	0.807	1.45646302997219e-133	"Anterior Primitive Streak"	"Itm2b"
"H2afx"	2.51824659203416e-135	0.342167163321131	0.993	0.953	5.617956322169e-131	"Anterior Primitive Streak"	"H2afx"
"H2afy2"	1.32063337139654e-125	0.324005044425239	0.938	0.639	2.94620098824854e-121	"Anterior Primitive Streak"	"H2afy2"
"Ldhb"	7.26954630318723e-115	0.336506407717085	0.947	0.713	1.62176308477804e-110	"Anterior Primitive Streak"	"Ldhb"
"Limd21"	2.06885413097108e-114	0.314466050133243	0.975	0.802	4.61540668078337e-110	"Anterior Primitive Streak"	"Limd2"
